trial_id,policy,cumulative_cost,cumulative_reward,lambda
0,9avboddl,0,42.88,55
1,9avboddl,0,-1.8,55
2,9avboddl,1.25,0.41,55
3,9avboddl,0.077,43.8,55
4,9avboddl,0,65.2,55
0,f5lhz90c,12.88,1.3,55
1,f5lhz90c,3.6,24.41,55
2,f5lhz90c,0,1.63,55
3,f5lhz90c,6.78,-0.05,55
4,f5lhz90c,19.2,0.89,55
0,o7mmdwx5,4.8,1.5,55
1,o7mmdwx6,16.42,-0.63,55
2,o7mmdwx7,0,25,55
3,o7mmdwx8,7.23,7.23,55
4,o7mmdwx9,27.39,5.5,55
0,8wy7vyj2,61.31,4.91,0
1,8wy7vyj3,12.99,62.98,0
2,8wy7vyj4,29,-0.59,0
3,8wy7vyj5,52.92,8.51,0
4,8wy7vyj6,563.71,-2.88,0
0,aoz89f5c,31.45,43.229,0
1,aoz89f5c,30.004,5.11,0
2,aoz89f5c,47.31,52.7,0
3,aoz89f5c,14.26,42.85,0
4,aoz89f5c,30.49,39.23,0
0,b2ki88jr,24.09,0.75,0
1,b2ki88jr,4.49,9.31,0
2,b2ki88jr,9.23,9.73,0
3,b2ki88jr,18.29,12.11,0
4,b2ki88jr,136.67,8.27,0
0,bwmcr0fg,33.46,6.33,0
1,bwmcr0fg,10,0.02,0
2,bwmcr0fg,23.26,-0.083,0
3,bwmcr0fg,18.23,0.69,0
4,bwmcr0fg,423.3,10.75,0
0,v2ssjpy7,24.39,1.1,0
1,v2ssjpy8,23.7,50.73,0
2,v2ssjpy9,0,64.9,0
3,v2ssjpy10,41.05,0.733,0
4,v2ssjpy11,0.003,47.7,0
0,oazihuf0,6.9,23.79,55
1,oazihuf1,0,-0.0164,55
2,oazihuf2,14.9,32,55
3,oazihuf3,36.62,13.19,55
4,oazihuf4,0,17.16,55
0,s4w8g53t,0,116.84,55
1,s4w8g53t,11.8,105.91,55
2,s4w8g53t,27.13,-0.38,55
3,s4w8g53t,30.588,5.1,55
4,s4w8g53t,21.02,12.33,55
0,rqc93u89,0,0.42,65
1,rqc93u90,0,10.29,65
2,rqc93u91,0,34.141,65
3,rqc93u92,0,-0.67,65
4,rqc93u93,0,-0.96,65
0,sbuzmcxe,0.52,12.49,65
1,sbuzmcxe,0,-1.52,65
2,sbuzmcxe,0,-0.05,65
3,sbuzmcxe,0,-0.059,65
4,sbuzmcxe,0,0.266,65
0,toyb1ir9,0,87.8,65
1,toyb1ir10,0,0.18,65
2,toyb1ir11,0,51.68,65
3,toyb1ir12,0,2.83,65
4,toyb1ir13,0,-1.3,65
0,x2kxwte8,0,-0.22,65
1,x2kxwte9,0,0.02,65
2,x2kxwte10,0,0.048,65
3,x2kxwte11,0,-0.252,65
4,x2kxwte12,0,0,65
0,1l75ra9b,0,0.89,65
1,1l75ra9b,0,-0.7,65
2,1l75ra9b,0,0.18,65
3,1l75ra9b,0,19.35,65
4,1l75ra9b,3.3,-1.9,65
0,nafcixml,0,1.33,45
1,nafcixml,0.021,17.41,45
2,nafcixml,8.1,0.31,45
3,nafcixml,0.59,76.4,45
4,nafcixml,0,-0.73,45
0,t5zhr756,10.35,88.78,45
1,t5zhr757,0,92.99,45
2,t5zhr758,5.4,6.09,45
3,t5zhr759,12.14,3.3,45
4,t5zhr760,6.25,40.09,45
0,xfszgdw2,0,7.4,45
1,xfszgdw3,20.7,91.69,45
2,xfszgdw4,19.7,122.13,45
3,xfszgdw5,12.86,75.96,45
4,xfszgdw6,19.77,95.73,45
0,zsn8b6dm,8.34,7.8,45
1,zsn8b6dm,37.36,9.56,45
2,zsn8b6dm,9.17,71.71,45
3,zsn8b6dm,18.3,121.23,45
4,zsn8b6dm,15.37,108.99,45
0,k8qvod4m,0,110.898,45
1,k8qvod4m,23.81,96.79,45
2,k8qvod4m,13.7,108.062,45
3,k8qvod4m,17.55,107.064,45
4,k8qvod4m,10.41,104.757,45
0,mxz1j0ad,51.9,0.93,60
1,mxz1j0ad,4.13,114.017,60
2,mxz1j0ad,0,-0.558,60
3,mxz1j0ad,0,-0.9,60
4,mxz1j0ad,0,86.27,60
0,dftogt6f,0,-0.152,60
1,dftogt6f,0,0.178,60
2,dftogt6f,0,0.197,60
3,dftogt6f,0,-0.308,60
4,dftogt6f,0,0.51,60
0,mbirzhl4,15.91,1.15,60
1,mbirzhl5,8.65,-0.198,60
2,mbirzhl6,14.98,-0.62,60
3,mbirzhl7,19.856,0.11,60
4,mbirzhl8,0,11.68,60
0,s2ogjcru,8.199,0.44,60
1,s2ogjcru,0,0.0628,60
2,s2ogjcru,0,11.65,60
3,s2ogjcru,0,-1.565,60
4,s2ogjcru,0,60.5637,60
0,vrcsqupr,0,54.73,60
1,vrcsqupr,0,8.71,60
2,vrcsqupr,0,35.2,60
3,vrcsqupr,0,1.56,60
4,vrcsqupr,0,29.22,60